150   -0.945694   [8.28862, -37.5554, -0.0773854]
151   -0.946661   [8.24658, -37.6551, -0.10122]
152   -0.943856   [8.33816, -37.7109, -0.128893]
153   -0.945986   [8.23537, -37.7424, -0.107222]
154   -0.9432   [8.26759, -37.7955, -0.0168627]
155   -0.943019   [8.18295, -37.7557, -0.0719699]
156   -0.941811   [8.26245, -37.8275, -0.0805481]
157   -0.944521   [8.17437, -37.8711, -0.0398338]
158   -0.942596   [8.16834, -37.7736, -0.000466861]
159   -0.940936   [8.26315, -37.7352, 0.0246314]
160   -0.942413   [8.19207, -37.7805, -0.0367751]
161   -0.943849   [8.21859, -37.7697, 0.0624162]
162   -0.943066   [8.30207, -37.7995, 0.0115049]
163   -0.942445   [8.27245, -37.7187, 0.0647489]
164   -0.94435   [8.27475, -37.6673, -0.0212205]
165   -0.942722   [8.35118, -37.6026, -0.0206127]
166   -0.94371   [8.34499, -37.5334, 0.0515316]
167   -0.945035   [8.35135, -37.5219, 0.150837]
168   -0.944255   [8.38359, -37.6069, 0.111265]
169   -0.943943   [8.29024, -37.5794, 0.124211]
170   -0.944749   [8.27863, -37.6718, 0.0963561]
171   -0.944597   [8.21541, -37.6026, 0.118142]
172   -0.942691   [8.21022, -37.6944, 0.142979]
173   -0.94399   [8.17707, -37.6226, 0.0915786]
174   -0.941512   [8.18603, -37.7125, 0.0680756]
175   -0.944042   [8.11518, -37.7206, 0.0078185]
176   -0.939736   [8.20188, -37.6901, -0.00188351]
177   -0.941401   [8.23, -37.7582, 0.0523444]
178   -0.943547   [8.23279, -37.8491, 0.0623657]
179   -0.942875   [8.23102, -37.8702, -0.0266656]
180   -0.942577   [8.20916, -37.8862, 0.0597784]
181   -0.942412   [8.19881, -37.8173, 0.00336237]
182   -0.942618   [8.26176, -37.7928, 0.0609758]
183   -0.942798   [8.35008, -37.7865, 0.0543961]
184   -0.943637   [8.27856, -37.7411, 0.0779608]
185   -0.943319   [8.23461, -37.8113, 0.107524]
186   -0.941967   [8.17848, -37.874, 0.0820833]
187   -0.943059   [8.11834, -37.8849, 0.0189148]
188   -0.942656   [8.11964, -37.9061, -0.066385]
189   -0.939917   [8.13249, -37.8459, -0.00484513]
